USER     PID   PPID  VSIZE RSS   WCHAN    PC         NAME
root     1     0     264   176   c008b8ac 0000c36c S /init
root     2     0     0     0     c004b138 00000000 S kthreadd
root     3     2     0     0     c003cf40 00000000 S ksoftirqd/0
root     4     2     0     0     c00484cc 00000000 S events/0
root     5     2     0     0     c00484cc 00000000 S khelper
root     6     2     0     0     c00484cc 00000000 S suspend/0
root     7     2     0     0     c00484cc 00000000 S kblockd/0
root     8     2     0     0     c00484cc 00000000 S cqueue
root     9     2     0     0     c015e768 00000000 S kseriod
root     10    2     0     0     c00484cc 00000000 S kmmcd
root     11    2     0     0     c0063e54 00000000 S pdflush
root     12    2     0     0     c0063e54 00000000 S pdflush
root     13    2     0     0     c0067a5c 00000000 S kswapd0
root     14    2     0     0     c00484cc 00000000 S aio/0
root     15    2     0     0     c015bec0 00000000 S mtdblockd
root     16    2     0     0     c00484cc 00000000 S rpciod/0
root     17    2     0     0     c016f704 00000000 S mmcqd
root     18    1     724   300   c013c0bc afe0b50c S /system/bin/sh
system   19    1     796   252   c017fb5c afe0b74c S /system/bin/servicemanager
root     20    1     1824  336   ffffffff afe0b50c S /system/bin/mountd
root     21    1     652   252   c018a19c afe0c0bc S /system/bin/debuggerd
radio    22    1     5308  636   ffffffff afe0bdbc S /system/bin/rild
root     23    1     69732 18780 c008be9c afe0b874 S zygote
media    24    1     16052 3068  ffffffff afe0b74c S /system/bin/mediaserver
bluetooth 27    1     1160  560   c008b8ac afe0c69c S /system/bin/dbus-daemon
root     28    1     788   288   c01eb8b0 afe0b50c S /system/bin/installd
root     31    1     820   316   c00aabf0 afe0c61c S /system/bin/qemud
root     33    1     3336  152   ffffffff 0000e794 S /sbin/adbd
system   51    23    199624 24684 ffffffff afe0b74c S system_server
radio    87    23    105168 16480 ffffffff afe0c824 S com.android.phone
app_5    92    23    116904 20260 ffffffff afe0c824 S android.process.acore
app_16   117   23    94164 11592 ffffffff afe0c824 S com.google.process.gapps
app_11   129   23    92176 11968 ffffffff afe0c824 S com.android.mms
app_1    139   23    90812 11180 ffffffff afe0c824 S com.android.alarmclock
app_0    149   23    94584 13200 ffffffff afe0c824 S com.google.android.apps.maps
app_4    156   23    92004 12256 ffffffff afe0c824 S android.process.media
root     602   33    736   336   c003aa0c afe0c4cc S /system/bin/sh
root     742   602   872   332   00000000 afe0b50c R ps
